Key,schinese
AL_LK_Unconscious,[(((ColourDarkGrey)))]昏迷[-]
AL_LK_Yields,[(((ColourYields)))]产出[-]
AL_LK_HarvestAction,[(((ColourModded)))][收获][-]
# }}}

# Craft Area to Block Name Translation {{{
# NOTE TO LOCALISERS: Please enter the values shown here for your language.
distillery,AL_Block_WorkstationDistillery
advanced_furnace,AL_Block_WorkstationAdvancedFurnace
mortar_and_pestle,AL_Block_WorkstationMortarAndPestle
kiln,AL_Block_WorkstationKiln
research_desk,AL_Block_WorkstationResearchDesk
dye_tub,AL_Block_WorkstationDyeTub
charcoal_kiln,AL_Block_WorkstationCharcoalKiln
tablesaw,tableSaw
# }}}

# Item Stats Display {{{
AL_LK_BronzeCraftingSpeed,青铜制作速度
AL_LK_IronCraftingSpeed,铁质制作速度
AL_LK_StoneBoulderBasher,石质巨石破坏者

AL_LK_Knife,刀
AL_LK_Spear,矛
AL_LK_Club,棍棒
AL_LK_Clubs,棍棒
AL_LK_Sword,剑
AL_LK_Sledgehammer,大锤
AL_LK_Thrown,投掷物
AL_LK_Fisticuffs,拳击

AL_LK_Crossbows,弩
AL_LK_Archery,弓箭

AL_LK_Pickaxe,镐
AL_LK_Axe,斧头
AL_LK_Shovel,铲子

AL_LK_Pickaxes,镐
AL_LK_Axes,斧头
AL_LK_Shovels,铲子

AL_LK_Shotgun,霰弹枪
AL_LK_Pistol,手枪
AL_LK_Rifle,步枪
AL_LK_SMG,冲锋枪
AL_LK_LMG,轻机枪
AL_LK_AssaultRifle,突击步枪

AL_LK_Yes,是
AL_LK_No,否
# }}}

# Tags {{{
AL_Tag_CollapsedWorkstation,毁坏的工作台

AL_ItemType_Melee,近战武器
AL_ItemType_Ranged,远程武器
AL_ItemType_Thrown,投掷武器
AL_ItemType_Pickaxes,镐
AL_ItemType_Guns,枪械
AL_ItemType_Axes,斧头
AL_ItemType_Shovel,铲子
AL_ItemType_Club,棍棒
AL_ItemType_Baton,警棍
AL_ItemType_Sledgehammer,大锤
AL_ItemType_Knife,刀
AL_ItemType_Sword,剑
AL_ItemType_Polearm,长柄武器
AL_ItemType_Spear,矛
AL_ItemType_Knuckles,拳头武器
AL_ItemType_Pickaxe,镐

AL_ItemType_Pistol,手枪
AL_ItemType_Magnum,左轮手枪
AL_ItemType_Shotgun,霰弹枪
AL_ItemType_Rifle,步枪
AL_ItemType_SMG,冲锋枪
AL_ItemType_LMG,轻机枪
AL_ItemType_AssaultRifle,突击步枪

AL_ItemType_Bow,弓
AL_ItemType_Crossbow,弩

AL_ItemType_ConstructionTool,建筑工具
AL_ItemType_MiningTool,采矿工具
AL_ItemType_DiggingTool,挖掘工具
AL_ItemType_LoggingTool,伐木工具
AL_ItemType_MotorTool,电动工具
AL_ItemType_SalvageTool,拆解工具

AL_Tag_BlockType_LoggingTarget,伐木目标
AL_Tag_BlockType_MiningTarget,采矿目标
AL_Tag_BlockType_DiggingTarget,挖掘目标
AL_Tag_BlockType_ButcheringTarget,屠宰目标

AL_AffectedByActionSkill_Butchering,刀刃对尸体
AL_AffectedByActionSkill_ThrownWeapons,投掷武器
AL_AffectedByActionSkill_Pickaxes,镐
AL_AffectedByActionSkill_Guns,枪械
AL_AffectedByActionSkill_Axes,斧头
AL_AffectedByActionSkill_Shovels,铲子
AL_AffectedByActionSkill_Clubbing,棍棒
AL_AffectedByActionSkill_Sledgehammers,大锤
AL_AffectedByActionSkill_Knives,刀
AL_AffectedByActionSkill_Swordsmanship,剑术
AL_AffectedByActionSkill_Polearms,长柄武器
AL_AffectedByActionSkill_Spears,矛
AL_AffectedByActionSkill_Fisticuffs,拳击
AL_AffectedByActionSkill_Archery,弓箭
AL_AffectedByActionSkill_Bows,弓
AL_AffectedByActionSkill_Crossbows,弩

AL_AffectedByActionSkill_Pistols,手枪
AL_AffectedByActionSkill_Magnums,左轮手枪
AL_AffectedByActionSkill_Shotguns,霰弹枪
AL_AffectedByActionSkill_Rifles,步枪
AL_AffectedByActionSkill_SMGs,冲锋枪
AL_AffectedByActionSkill_LMGs,轻机枪
AL_AffectedByActionSkill_AssaultRifles,突击步枪

AL_AffectedByActionSkill_Logging,伐木工具
AL_AffectedByActionSkill_Mining,采矿工具
AL_AffectedByActionSkill_Digging,挖掘工具
AL_AffectedByActionSkill_Salvaging,拆解工具
AL_AffectedByActionSkill_ConstructionTools,建筑工具
# }}}

# Special Atacks {{{
AL_LK_SpecialAttack,特殊攻击
AL_LK_BackstabEffect,[aaaaaa](((AL_LK_SpecialAttack))):[-] [(((ColourSpecialAttack)))]背刺[-]\n尝试背刺可以通过次要攻击执行，在敌人看不到你的情况下命中时会额外造成伤害。可以通过 [(((ColourModded)))]刺客[-] 特性来提升。
AL_LK_WeakenEffect,[aaaaaa](((AL_LK_SpecialAttack))):[-] [(((ColourSpecialAttack)))]削弱[-]\n削弱打击可以通过次要攻击执行，会减少目标当前的抗痛能力 10%。这使你能够更多地击打敌人而不使他们免疫眩晕。可以通过 [(((ColourModded)))]撕裂[-] 特性来提升。
AL_LK_CleaveEffect,[aaaaaa](((AL_LK_SpecialAttack))):[-] [(((ColourSpecialAttack)))]横扫[-]\n横扫可以通过次要攻击执行，并会对范围内的所有目标造成伤害，就像分别击打每个目标一样。每增加一个目标都会增加攻击的耐力消耗，但这可以通过 [(((ColourModded)))]狂暴动势[-] 特性来缓解。
AL_LK_PushAttackEffect,[aaaaaa](((AL_LK_SpecialAttack))):[-] [(((ColourSpecialAttack)))]推击[-]\n推击可以通过次要攻击执行，并会将敌人推开一点距离。推的距离可以通过 [(((ColourModded)))]推击[-] 特性来提升。
AL_LK_PowerAttackEffect,[aaaaaa](((AL_LK_SpecialAttack))):[-] [(((ColourSpecialAttack)))]强力攻击[-]\n强力攻击可以通过次要攻击执行，并会发出较慢但更具杀伤力的攻击，相比其他武器的特殊攻击效果更强。可以通过 [(((ColourModded)))]超级攻击[-] 特性来增强。
# }}}

# Recipe List Categories {{{
AL_LK_CategoryTools,工具
AL_LK_CategoryTraps,陷阱
AL_LK_CategoryAmmo,弹药
AL_LK_CategoryWorkstations,工作台
AL_LK_CategoryWoodworking,木工
AL_LK_CategoryPerkBooks,技能书
AL_LK_CategoryCraftingMagazines,制作杂志
AL_LK_CategoryWriting,写作
# }}}

# Items {{{
AL_Item_GoldNugget,金块
AL_Item_GoldNuggetDesc,成为一块金块总比成为一块鸡肉块好。

AL_Item_IronScraps,铁碎片
AL_Item_IronScrapsDesc,各种小块的铁，除了熔炼外可能没什么用处。多么讽刺。

AL_Item_SteelScraps,钢碎片
AL_Item_SteelScrapsDesc,各种小块的钢。除了熔炼外可能没什么用处。

AL_Item_BronzeScraps,青铜碎片
AL_Item_BronzeScrapsDesc,各种小块的青铜。除了熔炼外可能没什么用处。

AL_Item_TinScraps,锡碎片
AL_Item_TinScrapsDesc,各种小块的锡。除了熔炼外可能没什么用处。

AL_Item_CopperScraps,铜碎片
AL_Item_CopperScrapsDesc,各种小块的铜。除了熔炼外可能没什么用处。

AL_Item_BrassScraps,黄铜碎片
AL_Item_BrassScrapsDesc,各种小块的黄铜。除了熔炼外可能没什么用处。

AL_Item_ZincScraps,锌碎片
AL_Item_ZincScrapsDesc,各种小块的锌。除了熔炼外可能没什么用处。

AL_Item_DevBackpack,开发者背包
AL_Item_DevBackpackDesc,你是个开发者吗，小子？！？！

AL_Item_Kukri,弯刀
AL_Item_KukriDesc,不知道它能不能像回飞镖一样用。\n\n(((AL_LK_BackstabEffect)))

AL_Item_SolidStateDrive,固态硬盘
AL_Item_SolidStateDriveDesc,一款超快的固态硬盘。可能存了一些色情资料。

AL_Item_BronzeArrow,青铜箭
AL_Item_BronzeArrowDesc,一支带有青铜箭头的箭。虽然不如铁或钢的好，但肯定比石头的好。

AL_Item_BronzeBolt,青铜弩箭
AL_Item_BronzeBoltDesc,一支带有青铜箭头的弩箭。虽然不如铁或钢的好，但肯定比石头的好。

AL_Item_BronzeKnuckles,青铜指虎
AL_Item_BronzeKnucklesDesc,没什么特别的，但它能打。\n\n(((AL_LK_WeakenEffect)))

AL_Item_BronzeSledgehammer,青铜大锤
AL_Item_BronzeSledgehammerDesc,就像公元前3300年的锤子时间！\n\n(((AL_LK_CleaveEffect)))

AL_Item_BronzeWarhammer,青铜战锤
AL_Item_BronzeWarhammerDesc,在不远的未来黑暗中，只有丧尸。\n\n(((AL_LK_PowerAttackEffect)))

AL_Item_BronzeKnife,青铜刀
AL_Item_BronzeKnifeDesc,你的日常实用青铜刀。\n\n(((AL_LK_BackstabEffect)))

AL_Item_BronzeSpear,青铜矛
AL_Item_BronzeSpearDesc,一根相当长的青铜矛，适合用来戳东西，而不是让东西戳回来。\n\n(((AL_LK_PushAttackEffect)))

AL_Item_BronzeArrowhead,青铜箭头
AL_Item_BronzeArrowheadDesc,一个青铜箭头，可以用来制作箭或弩箭。

AL_Item_BronzeAnvil,青铜砧
AL_Item_BronzeAnvilDesc,可以在锻造台上安装以进行青铜锻造。

AL_Item_AdvancedCrucible,高温坩埚
AL_Item_AdvancedCrucibleDesc,高温坩埚是高级熔炼的关键部分，可以将需要极高温度液化的超合金铸造成型。可以在锻造台上安装。

AL_Item_RaincoatJacket,雨衣夹克
AL_Item_RaincoatJacketDesc,这件拼接的雨衣夹克不能完全防水，但会有一定帮助。

AL_Item_RaincoatHood,雨衣帽子
AL_Item_RaincoatHoodDesc,这件拼接的雨衣帽子可能会弄乱你的头发，但可以保持干燥。

AL_Item_FryingPan,煎锅
AL_Item_FryingPanDesc,砰！

AL_Item_ScrapSpear,废料矛
AL_Item_ScrapSpearDesc,它是一种远距离尖端工具。\n\n(((AL_LK_PushAttackEffect)))

AL_Item_ScrapKnuckles,废料指虎
AL_Item_ScrapKnucklesDesc,现在它们被搞定了！\n\n(((AL_LK_WeakenEffect)))

AL_Item_WoodenBucketEmpty,木桶
AL_Item_WoodenBucketEmptyDesc,一个可以用来收集水并倒到别处的木桶。[bbbbbb]只支持污浊感染水。[-]

AL_Item_WoodenBucketMid,装有污浊感染水的木桶
AL_Item_WoodenBucketMidDesc,一个装满了非常糟糕的水的木桶。非常非常糟糕。可以说是最糟糕的水。

AL_Item_WoodenBucketFull,装满污浊感染水的木桶
AL_Item_WoodenBucketFullDesc,一个装满了非常糟糕的水的木桶。非常非常糟糕。可以说是最糟糕的水。

AL_Item_BronzeBucketEmpty,青铜桶
AL_Item_BronzeBucketEmptyDesc,一个可以用来收集水并倒到别处的青铜桶。[bbbbbb]只支持污浊感染水。[-]

AL_Item_BronzeBucketMid,[(((ColourModded)))]青铜桶[-] [(((ColourDirtyWater)))](污浊感染水)[-]
AL_Item_BronzeBucketMidDesc,一个装满了非常糟糕的水的青铜桶。非常非常糟糕。可以说是最糟糕的水。

AL_Item_BronzeBucketFull,[(((ColourModded)))]装满污浊感染水的青铜桶[-]
AL_Item_BronzeBucketFullDesc,一个装满了非常糟糕的水的青铜桶。非常非常糟糕。可以说是最糟糕的水。

AL_Item_ScrapShovel,[(((ColourModded)))]废料铲[-]
AL_Item_ScrapShovelDesc,一把由回收和废料零件组装的铲子。如果生锈没有侵蚀太多，它还能用。

AL_Item_ScrapPickaxe,[(((ColourModded)))]废料镐[-]
AL_Item_ScrapPickaxeDesc,它几乎要散架了，但在散架之前应该还能敲碎几块石头。

AL_Item_ScrapSledgehammer,[(((ColourModded)))]废料大锤[-]
AL_Item_ScrapSledgehammerDesc,几根管子、一些胶带和一堆杂七杂八的垃圾，你就有了一个大锤。\n\n(((AL_LK_CleaveEffect)))

AL_Item_InconelKnife,[(((ColourModded)))]镍合金刀[-]
AL_Item_InconelKnifeDesc,一把纯镍合金刀刃的小刀，带聚合物手柄。\n\n(((AL_LK_BackstabEffect)))

AL_Item_InconelGreatHammer,[(((ColourModded)))]镍合金大锤[-]
AL_Item_InconelGreatHammerDesc,一把用我们最好的超合金制成的重型双手锤。\n\n(((AL_LK_CleaveEffect)))

AL_Item_InconelMace,[(((ColourModded)))]镍合金狼牙棒[-]
AL_Item_InconelMaceDesc,一把看起来很现代的镍合金狼牙棒。\n\n(((AL_LK_PowerAttackEffect)))

AL_Item_InconelSpear,[(((ColourModded)))]镍合金长矛[-]
AL_Item_InconelSpearDesc,它很长且硬度惊人，但缺乏厚度。\n\n(((AL_LK_PushAttackEffect)))

AL_Item_InconelKnuckles,[(((ColourModded)))]镍合金指虎[-]
AL_Item_InconelKnucklesDesc,如果你曾经想用一种先进的超合金拳击丧尸的脸，那你来对了。\n\n(((AL_LK_WeakenEffect)))

AL_Item_InconelShovel,[(((ColourModded)))]镍合金铲[-]
AL_Item_InconelShovelDesc,这是一种太空时代的超合金，所以这把铲子也成了地形改造工具。

AL_Item_InconelAxe,[(((ColourModded)))]镍合金斧[-]
AL_Item_InconelAxeDesc,待定

AL_Item_InconelPickaxe,[(((ColourModded)))]镍合金镐[-]
AL_Item_InconelPickaxeDesc,待定

AL_Item_BronzeAxe,[(((ColourModded)))]青铜斧[-]
AL_Item_BronzeAxeDesc,一把青铜斧，比石斧好，但不如铁斧。

AL_Item_BronzePickaxe,[(((ColourModded)))]青铜镐[-]
AL_Item_BronzePickaxeDesc,用青铜敲石头比用石头敲石头更好。

AL_Item_BronzeShovel,[(((ColourModded)))]青铜铲[-]
AL_Item_BronzeShovelDesc,一个后新石器时代前讽刺的挖洞工具。

AL_Item_Shiv,[(((ColourModded)))]自制刀[-]
AL_Item_ShivDesc,拿起一件尖锐的东西，像刀一样握着，你就有了一个自制刀。\n\n(((AL_LK_BackstabEffect)))

AL_Item_ZVirusTestingKit,[(((ColourModded)))]Z病毒测试套件[-]
AL_Item_ZVirusTestingKitDesc,这个可以用来检测你是否被感染，在症状变得太明显之前。

AL_Item_Vodka,[(((ColourModded)))]伏特加[-]
AL_Item_VodkaDesc,自土豆以来一直帮助俄罗斯人“感觉”更温暖。

AL_Item_Trinkermeister,[(((ColourModded)))]饮酒大师[-]
AL_Item_TrinkermeisterDesc,当所有人都昏倒时，你就是饮酒大师！

AL_Item_Umbrella,[(((ColourModded)))]雨伞[-]
AL_Item_UmbrellaDesc,当外面下着大雨，但室内丧尸数量已经超标时，用雨伞。

AL_Item_BucketFull,[(((ColourModded)))]装满污浊感染水的桶[-]
AL_Item_BucketFullDesc,一个装满了非常糟糕的水的桶。非常非常糟糕。可以说是最糟糕的水。

AL_Item_JarFuel,[(((ColourModded)))]燃料[-]
AL_Item_JarFuelDesc,一罐燃料即汽油。不要喝它。

AL_Item_JerryCan,[(((ColourModded)))]油桶[-]
AL_Item_JerryCanDesc,经典的油桶，末世中的标志性物品。\n\n[bbbbbb]装备并按住左键在一个燃料源上填充。\n装备并按住右键给车辆加油或倒入燃料容器。\n仅支持燃料。[-]

AL_Item_JarEmpty,空罐子
AL_Item_JarEmptyDesc,可以从自然水源或容器中收集液体。

AL_Item_Schnapps,[(((ColourModded)))]斯纳普酒[-]
AL_Item_SchnappsDesc,斯纳普酒。一种果味、草本、辛辣、糖浆状的利口酒。会让你醉倒。

AL_Item_TestKnife,[ff00ff]测试刀[-]
AL_Item_TestKnifeDesc,捅捅捅！

AL_Item_FlatTireSmall,[(((ColourModded)))]小型瘪胎[-]
AL_Item_FlatTireSmallDesc,待定

AL_Item_FlatTireLarge,[(((ColourModded)))]大型瘪胎[-]
AL_Item_FlatTireLargeDesc,待定

AL_Item_Tarp,[(((ColourModded)))]油布[-]
AL_Item_TarpDesc,这是一块油布！

AL_Item_Sickle,[(((ColourModded)))]镰刀[-]
AL_Item_SickleDesc,镰刀是一种用于更容易更快地收割草和作物的有用工具，比徒手要好。不过在战斗中不太实用。

AL_Item_TailoringMagazine,[(((ColourModded)))]针线杂志[-]
AL_Item_TailoringMagazineDesc,从头到脚，我们为你覆盖。每一期都专注于高质量的家庭缝纫设计。

AL_Item_LeatherworkingMagazine,[(((ColourModded)))]皮革杂志[-]
AL_Item_LeatherworkingMagazineDesc,皮革？我几乎不认识她！

AL_Item_Shafts,[(((ColourModded)))]木杆[-]
AL_Item_ShaftsDesc,细长的木条，主要用于制作箭和弩箭。

drinkJarBoiledWater,[c0ff00]感染水[-]
drinkJarBoiledWaterDesc,这些水取自受Z病毒感染的水源，这并不奇怪，因为几乎所有水源都是如此。据说这些水已经被煮沸过，虽然不会让你的胃不适，但饮用仍然不明智。

drinkJarRiverWater,[c0ff00]污浊感染水[-]
drinkJarRiverWaterDesc,浑浊肮脏的受感染废水。喝了会让你拉肚子，死得更快。

AL_Item_Compass,[(((ColourModded)))]指南针[-]
AL_Item_CompassDesc,这不是谷歌地图，但也能凑合用。

AL_Item_Guidebook,[(((ColourModded)))]指南书[-]
AL_Item_GuidebookDesc,这本书的封面异常干净，在这个充满锈迹和灰尘的世界里显得格外鲜艳。它要么是由一位工艺大师制作的，要么是由一台专门制造的复杂机器生产的。其表面呈现出多种凹凸纹理，使得这本书格外引人注目。这本书的存在和状态不合常理，但没有任何线索可以解释这一点。\n\n[bbbbbb]你可以分解这个物品以跳过教程任务线，并获得完成任务的所有奖励。[-]

AL_Item_ExtremelySimpleLifeMagazine,[(((ColourModded)))]极其简单生活杂志[-]
AL_Item_ExtremelySimpleLifeMagazineDesc,这本杂志与那本书一样异常干净和鲜艳，仿佛刚刚印刷出来。浏览了几页之后，你会发现里面详细介绍了如何使用野外容易找到的材料制作几种原始的生存工具。杂志包含制作[(((ColourModded)))]石斧[-][ffffff]、[(((ColourModded)))]石镐[-][ffffff]、[(((ColourModded)))]石铲[-][ffffff]、[(((ColourModded)))]木槌[-] 和 [(((ColourGrey)))]原始弓[-] 的说明。

AL_Item_LiteratureFragments,[(((ColourModded)))]文献碎片[-]
AL_Item_LiteratureFragmentsDesc,包含各种知识的文字和插图。也许可以通过整理这些碎片产生有用的信息。

AL_Item_BikerHelmet,[(((ColourModded)))]摩托车头盔[-]
AL_Item_BikerHelmetDesc,它是用来骑车的，还是用来打架的？为什么不两者兼用呢？

AL_Item_CeramicCrucible,[(((ColourModded)))]陶瓷坩埚[-]
AL_Item_CeramicCrucibleDesc,这个由泥土和火制成的简单坩埚可以忠实地容纳几乎所有的熔融金属。可以在熔炉中安装使用。

AL_Item_LockpickSet,[(((ColourModded)))]开锁工具组[-]
AL_Item_LockpickSetDesc,一个携带袋内装有一套开锁工具。当然，在现代社会，它们只被爱好者和竞技开锁者使用。一个人不应该打开不属于自己的锁。是的，就是这样……

AL_Item_PatchUpKit,[(((ColourModded)))]修补包[-]
AL_Item_PatchUpKitDesc,这种由易得材料制成的简易装置可以适度修复大多数物品，但也会减少修复物品的最大耐久度，直到进行一次完整的修复。

AL_Item_FreedomDye,[(((ColourModded)))]自由染色剂（开发物品）[-]
AL_Item_FreedomDyeDesc,一种由染色缸生产的染色剂。

AL_Item_ManukaHoney,[(((ColourModded)))]麦卢卡蜂蜜[-]
AL_Item_ManukaHoneyDesc,据许多人宣称，[(((ColourModded)))]麦卢卡蜂蜜[-]可以增强免疫系统。味道也不错。

AL_Item_HeadLamp,[(((ColourModded)))]头灯[-]
AL_Item_HeadLampDesc,当你需要在黑暗中看清楚东西，同时还需要用手做事情，并且不想占用装备槽位时，它相当有用。

AL_Item_Brick,[(((ColourModded)))]砖块[-]
AL_Item_BrickDesc,普通的粘土砖，经过窑烧制而成，即将出现在附近的建筑中。

AL_Item_BrickMould,[(((ColourModded)))]砖模[-]
AL_Item_BrickMouldDesc,这只是用一些木材拼凑而成的模具，用来制作砖块。每个模具安装在一个[(((ColourModded)))]窑[-]中都可以将生产一块砖所需的时间减半。

AL_Item_SchematicWristwatch,[(((ColourModded)))]手表图纸[-]
AL_Item_SchematicLockpick,开锁工具图纸
AL_Item_SchematicCompass,指南针图纸

AL_Item_Wristwatch,[(((ColourModded)))]手表[-]
AL_Item_WristwatchDesc,很久以前，在一个愚蠢的时代，有人觉得一直抬头看太阳会伤眼睛，于是他们买了一块手表。

AL_Item_BoneShards,[(((ColourModded)))]骨头碎片[-]
AL_Item_BoneShardsDesc,从较大的完整骨头断裂和分裂出来的细小骨片。

AL_Item_Wood,[(((ColourModded)))]木头[-]
AL_Item_WoodDesc,这种[(((ColourModded)))]木头[-]经过加工成不同形状，用于制作各种产品。

AL_Item_IronOre,[(((ColourModded)))]铁矿石[-]
AL_Item_IronOreDesc,这是铁金属的唯一来源，并且数量惊人。看来旧世界的探矿者真的很无能。

AL_Item_CassiteriteOre,[(((ColourModded)))]锡石矿石[-]
AL_Item_CassiteriteOreDesc,锡金属的来源，也是制作青铜合金的关键成分。

AL_Item_NitreOre,[(((ColourModded)))]硝石矿石[-]
AL_Item_NitreOreDesc,这种颗粒状、白色且不起眼的东西实际上是爆炸性力量的来源。

AL_Item_GoldOre,[(((ColourModded)))]金矿石[-]
AL_Item_GoldOreDesc,我们发财了！

AL_Item_SilverOre,[(((ColourModded)))]银矿石[-]
AL_Item_SilverOreDesc,嗨哟，银子！

AL_Item_BookRockHardBase,[(((ColourModded)))]岩石硬杂志基础版（开发物品）[-]
AL_Item_BookRockHard1,[(((ColourModded)))]岩石硬杂志：第一卷[-]
AL_Item_BookRockHard2,[(((ColourModded)))]岩石硬杂志：第二卷[-]
AL_Item_BookRockHard3,[(((ColourModded)))]岩石硬杂志：第三卷[-]
AL_Item_BookRockHard4,[(((ColourModded)))]岩石硬杂志：第四卷[-]
AL_Item_BookRockHard5,[(((ColourModded)))]岩石硬杂志：第五卷[-]
AL_Item_BookRockHard6,[(((ColourModded)))]岩石硬杂志：第六卷[-]
AL_Item_BookRockHard7,[(((ColourModded)))]岩石硬杂志：第七卷[-]

AL_Item_BookRockHard1Desc,包含一种适合矿工生活方式的特殊咖啡配方。
AL_Item_BookRockHard2Desc,有时你的热情超过了判断力，天空之石落在你身上。本期介绍了一些如何让天空之石不那么疼的技巧。
AL_Item_BookRockHard3Desc,今晚，你们这些人将会和你们的镐子一起睡觉。你会给你的镐子起个女孩的名字。[REDACTED] 你和这把镐子结婚了。这把由铁和木头制成的工具。你要忠诚！（关于维护）
AL_Item_BookRockHard4Desc,似乎如果你不小心敲打矿石，可能会破坏有价值的矿石。本期介绍了如何避免这种情况。
AL_Item_BookRockHard5Desc,这期似乎全是关于采矿头盔的内容，特别是带有头灯的头盔。如何制作、穿戴以及食用它们等等。安全第一！
AL_Item_BookRockHard6Desc,详细介绍了工作中保持水分的重要性。他们说的没错。采矿是出汗的工作，尤其是在你只留下一个出口并且一群怪物跳进来的时候。
AL_Item_BookRockHard7Desc,本期详细描述了在坚硬的东西末端加上更硬的东西的优点。
AL_BookGroup_RockHardDesc,你是岩石硬核的采矿者吗？这是你的杂志。

AL_Item_BookDakkaX4Vol1,[(((ColourModded)))]哒咔哒咔哒咔哒咔：第一卷[-]
AL_Item_BookDakkaX4Vol2,[(((ColourModded)))]哒咔哒咔哒咔哒咔：第二卷[-]
AL_Item_BookDakkaX4Vol3,[(((ColourModded)))]哒咔哒咔哒咔哒咔：第三卷[-]
AL_Item_BookDakkaX4Vol4,[(((ColourModded)))]哒咔哒咔哒咔哒咔：第四卷[-]
AL_Item_BookDakkaX4Vol5,[(((ColourModded)))]哒咔哒咔哒咔哒咔：第五卷[-]
